,participant,block_num,trial_num,condition,rt,low_opt_feed,mid_opt_feed,high_opt_feed,selected_option,selected_fvalue,difficulty,magnitude,choice,rt_quantile
2483,13,4,92,DEF,0.983,42,42,47,E,42,hard,high,2,4
2484,13,4,93,ABC,0.467,31,32,38,C,38,hard,low,3,2
2485,13,4,94,BDF,0.69,33,43,53,D,43,easy,high,2,3
2486,13,4,95,DEF,0.636,38,44,48,F,48,hard,high,3,2
2487,13,4,96,ACE,0.866,32,41,34,E,34,easy,low,3,3
2488,13,4,97,BDF,1.413,29,45,45,D,45,easy,high,2,6
2489,13,4,98,ABC,0.773,35,33,36,A,35,hard,low,1,3
2490,13,4,99,BDF,0.876,36,43,40,D,43,easy,high,2,4
2491,13,4,100,ACE,0.772,30,30,41,A,30,easy,low,1,3
2492,13,4,101,DEF,1.548,42,44,48,D,42,hard,high,1,5
2493,13,4,102,ACE,1.752,34,39,51,E,51,easy,low,3,5
2494,13,4,103,BDF,1.075,44,41,54,D,41,easy,high,2,4
2495,13,4,104,DEF,1.44,41,46,55,F,55,hard,high,3,5
2496,13,4,105,ACE,1.876,29,40,38,E,38,easy,low,3,5
2497,13,4,106,DEF,1.132,41,55,46,D,41,hard,high,1,5
2498,13,4,107,ABC,3.714,25,32,35,B,32,hard,low,2,6
2499,13,4,108,ACE,6.358,32,41,49,E,49,easy,low,3,6
2500,13,4,110,DEF,1.02,38,43,54,E,43,hard,high,2,4
2501,13,4,111,ABC,2.491,28,35,40,C,40,hard,low,3,6
2502,13,4,112,ACE,1.678,34,32,47,C,32,easy,low,2,5
2503,13,4,113,ABC,4.579,33,31,42,A,33,hard,low,1,6
2504,13,4,114,BDF,4.438,26,40,43,F,43,easy,high,3,6
2505,13,4,115,ACE,2.065,33,29,46,A,33,easy,low,1,6
2506,13,4,116,ABC,0.979,27,38,41,A,27,hard,low,1,4
2507,13,4,117,DEF,1.125,44,48,50,F,50,hard,high,3,4
2508,13,4,118,ACE,1.263,27,37,47,A,27,easy,low,1,4
2509,13,4,119,BDF,0.954,29,48,51,F,51,easy,high,3,4
2510,13,4,120,DEF,1.239,41,48,59,F,59,hard,high,3,5
2511,13,4,121,ABC,0.964,27,29,38,A,27,hard,low,1,4
2512,13,4,122,ACE,0.487,25,47,39,A,25,easy,low,1,1
2513,13,4,123,DEF,0.607,38,46,59,D,38,hard,high,1,2
2514,13,4,124,ACE,0.698,37,32,45,E,45,easy,low,3,2
2515,13,4,125,ABC,1.145,33,31,42,C,42,hard,low,3,4
2516,13,4,126,ACE,2.315,38,44,50,A,38,easy,low,1,6
2517,13,4,127,DEF,0.472,47,43,49,D,47,hard,high,1,1
2518,13,4,128,BDF,0.772,41,46,48,D,46,easy,high,2,3
2519,13,4,129,ABC,1.049,29,25,38,A,29,hard,low,1,4
2520,13,4,130,DEF,0.919,49,42,45,F,45,hard,high,3,4
2521,13,4,131,ACE,2.157,32,37,49,C,37,easy,low,2,6
2522,13,4,132,BDF,0.929,35,39,48,D,39,easy,high,2,4
2523,13,4,133,DEF,0.918,40,53,53,D,40,hard,high,1,4
2524,13,4,134,ABC,1.259,26,40,34,C,34,hard,low,3,5
2525,13,4,135,DEF,1.125,35,40,49,D,35,hard,high,1,4
2526,13,4,136,ACE,0.964,36,36,42,E,42,easy,low,3,3
2527,13,4,137,ABC,1.801,40,31,41,A,40,hard,low,1,6
2528,13,4,138,BDF,1.875,34,45,55,F,55,easy,high,3,6
2529,13,4,139,ACE,1.905,32,37,43,E,43,easy,low,3,5
2530,13,4,140,DEF,1.043,39,45,48,F,48,hard,high,3,4
2531,13,4,141,BDF,1.39,37,40,44,F,44,easy,high,3,5
2532,13,4,142,ABC,1.686,27,35,48,B,35,hard,low,2,5
2533,13,4,143,DEF,3.302,41,37,55,F,55,hard,high,3,6
2534,13,4,144,BDF,1.231,39,50,50,F,50,easy,high,3,5
